subject,label,MeanNN,SDNN,RMSSD,pNN50,pNN20,MedianNN,IQRNN,CVNN,MinNN,MaxNN,HR_mean,LF,HF,LF_HF
S2,baseline,746.9077757685352,92.7083706437983,52.242741403031566,20.253164556962027,63.29113924050633,735.7142857142858,153.57142857142844,0.12412291537386322,584.2857142857143,950.0,80.33120278907613,0.05428750066255404,0.014087029034951662,3.8537224937820485
S2,baseline,744.3580470162748,98.02735090040636,62.5778426805992,22.78481012658228,62.0253164556962,718.5714285714286,162.8571428571429,0.1316938149501366,584.2857142857143,990.0,80.60636979811967,0.05172974839212694,0.011200046724859757,4.618708266395619
S2,baseline,748.040293040293,101.49377531916652,63.981345015082645,25.64102564102564,60.256410256410255,720.7142857142858,178.21428571428578,0.13567955665417555,584.2857142857143,990.0,80.209583037485,0.05142432692191707,0.015495598874009245,3.3186408179532223
S2,baseline,779.8308270676691,103.85546395584447,66.35894969091684,30.263157894736842,64.47368421052632,787.8571428571429,183.57142857142856,0.13317691523732558,584.2857142857143,990.0,76.93976426350423,0.048085329965467605,0.011196751854327516,4.294578516258065
S2,baseline,792.0952380952383,96.0497588149669,65.51758373343803,32.0,68.0,804.2857142857142,152.1428571428571,0.12126036642505138,584.2857142857143,990.0,75.74846699531079,0.05022210969461069,0.01414658262292945,3.550123095680247
S2,baseline,805.7534246575342,93.8663027960984,62.173865644344474,27.397260273972602,60.273972602739725,812.8571428571429,142.8571428571429,0.11649507147424656,625.7142857142857,990.0,74.46446786807209,0.0512127676013649,0.021376871405577477,2.3957092050431146
S2,baseline,831.3279678068412,84.33285570079342,63.73597141707448,29.577464788732392,60.56338028169014,838.5714285714286,125.0,0.10144354450539564,638.5714285714286,990.0,72.17368153544544,0.04579171285449696,0.02110592448316506,2.1696141711784422
S2,baseline,842.9591836734693,77.52276723470469,52.598269320596806,28.57142857142857,61.42857142857143,862.1428571428571,110.0,0.0919650307347907,638.5714285714286,957.1428571428572,71.17782350804988,0.02894100378994795,0.013973568848916724,2.071124714298849
S2,baseline,838.0204081632653,73.25180035991079,51.53026522588663,25.71428571428571,58.57142857142858,842.1428571428571,107.14285714285711,0.08741052084932004,638.5714285714286,957.1428571428572,71.59730170713294,0.014318660855023134,0.008245321222434581,1.7365801123749658
S2,baseline,840.3877551020407,75.36715668595475,51.07452320902547,22.857142857142858,62.857142857142854,856.4285714285714,116.07142857142844,0.08968140745554247,638.5714285714286,957.1428571428572,71.39561426940917,0.023160733265999225,0.012694624290510428,1.8244520464707643
S2,baseline,852.2774327122152,72.0537009789552,53.13067990962533,23.18840579710145,62.31884057971014,868.5714285714286,100.0,0.08454254238512175,638.5714285714286,957.1428571428572,70.39961132029639,0.03766306572804133,0.017446184507315925,2.158813906401575
S2,baseline,853.312629399586,56.80493187507159,52.36283745843688,27.536231884057973,65.21739130434783,860.0,78.57142857142856,0.06656989468800091,731.4285714285714,957.1428571428572,70.31420599296372,0.041586784686389294,0.02294864678363489,1.812167186957865
S2,baseline,832.112676056338,58.4617485542403,46.601092343207746,23.943661971830984,63.38028169014085,831.4285714285714,90.71428571428578,0.07025700994162257,710.0,954.2857142857143,72.10561949898442,0.04368189602252059,0.03566052199808765,1.2249370893915434
S2,baseline,812.4801587301587,69.52224475238066,62.41038415671907,31.944444444444443,70.83333333333334,817.8571428571429,83.57142857142867,0.08556792926615998,600.0,954.2857142857143,73.84795721507241,0.021248935400127705,0.01881091050816227,1.1296069582016006
S2,baseline,801.1969111969112,75.30388608901765,63.0070707943693,32.432432432432435,72.97297297297297,805.7142857142857,105.71428571428578,0.09398923664910401,600.0,954.2857142857143,74.8879572068816,0.024348678780564702,0.03687044594086492,0.6603847108227713
S2,baseline,799.4520547945206,72.08768522783319,61.32720503249358,35.61643835616438,72.6027397260274,804.2857142857142,100.0,0.09017136774557613,600.0,931.4285714285713,75.0514050719671,0.028390832644674905,0.04327025240437022,0.6561281958643597
S2,baseline,797.9060665362035,69.42919287060244,59.59519528944679,31.506849315068493,75.34246575342466,805.7142857142857,97.14285714285711,0.08701424363396817,600.0,931.4285714285713,75.19682142594364,0.02810779511756049,0.03667329502847756,0.7664376788541694
S2,baseline,795.2837573385518,68.07220928094868,56.52041952364872,35.61643835616438,75.34246575342466,800.0,84.28571428571433,0.08559486931904028,600.0,931.4285714285713,75.44476980240655,0.031917684675671194,0.0411663093289774,0.7753351028046617
S2,baseline,810.587084148728,69.28196505010513,56.339089187894594,38.35616438356164,75.34246575342466,820.0,78.57142857142867,0.08547134096377133,600.0,931.4285714285713,74.02042442239444,0.03345508720612361,0.06463936945438847,0.5175651849408981
S2,baseline,819.0342052313883,60.005235266200145,54.00059388508325,33.80281690140845,71.83098591549296,831.4285714285714,70.0,0.07326340570751602,635.7142857142857,931.4285714285713,73.25701370805287,0.04038317928806779,0.07608631693773443,0.5307548178618705
S2,baseline,831.1428571428571,50.279079178291035,50.18097976876389,32.857142857142854,71.42857142857143,839.2857142857142,62.857142857143,0.060493907570992995,705.7142857142858,931.4285714285713,72.18975592987282,0.05002134381706251,0.07238254493271266,0.6910691502151894
S2,baseline,827.907444668008,47.99588842079282,47.525656719789055,30.985915492957744,69.01408450704226,834.2857142857143,62.85714285714289,0.05797252909114645,705.7142857142858,910.0,72.47186915206456,0.05326609765271023,0.060391907199347915,0.8820072112788876
S2,baseline,826.579476861167,50.071365322525146,48.82556563992177,30.985915492957744,70.4225352112676,831.4285714285714,64.28571428571433,0.06057658909299919,705.7142857142858,910.0,72.58830116112071,0.05158483242975882,0.016514124053730796,3.1236796006812733
S2,baseline,826.4989939637827,50.211093016854285,45.168941056345375,21.12676056338028,69.01408450704226,831.4285714285714,67.85714285714289,0.060751547652887455,705.7142857142858,908.5714285714286,72.59536967159238,0.05830514904299714,0.01581611676658372,3.6864389599211997
S2,baseline,827.9761904761904,55.23929495216518,50.62557775780239,25.0,69.44444444444444,830.0,74.28571428571422,0.06671604278909958,705.7142857142858,947.1428571428572,72.46585190510424,0.048179292512045196,0.013918143161775169,3.4616178287607324
S2,baseline,821.9919517102617,59.387779796100915,50.56416412715186,25.352112676056336,70.4225352112676,822.8571428571429,82.85714285714289,0.07224861468842472,650.0,981.4285714285714,72.9934154162485,0.049773578319190576,0.01809529793546427,2.7506360213965464
S2,baseline,824.9698189134809,61.10444108576772,53.794772525036386,30.985915492957744,69.01408450704226,825.7142857142858,79.28571428571433,0.07406869886009257,650.0,981.4285714285714,72.72993341625813,0.05059724890685061,0.024920467232123846,2.030349127709291
S2,baseline,829.1549295774648,64.3177142418308,56.20765331825544,33.80281690140845,66.19718309859155,834.2857142857143,85.71428571428578,0.07757020063139097,650.0,981.4285714285714,72.36283336164429,0.05802300016080362,0.02418573025987423,2.399059260867873
S2,baseline,833.3802816901409,75.66661550408949,59.59973389104505,38.028169014084504,70.4225352112676,837.1428571428572,100.0,0.09079482340358887,650.0,1002.8571428571429,71.99594389048504,0.05102973985248139,0.021034795941180604,2.4259679055207073
S2,baseline,836.5510204081631,82.60993065149296,56.94245397049723,37.142857142857146,72.85714285714285,836.4285714285716,123.92857142857144,0.09875061847535205,650.0,1002.8571428571429,71.72306115976679,0.05077717189675684,0.01098713555140707,4.621511372020349
S2,baseline,834.2857142857143,82.45744961340075,54.76226482913402,34.285714285714285,67.14285714285714,821.4285714285714,120.71428571428567,0.09883598412565159,651.4285714285714,1002.8571428571429,71.91780821917808,0.05487288428474736,0.008283238974641203,6.624568535658388
S2,baseline,846.231884057971,74.72397024758114,57.446148904949276,37.68115942028986,66.66666666666666,851.4285714285714,111.42857142857144,0.08830200286150194,677.1428571428571,1002.8571428571429,70.90255180681623,0.04926593020336261,0.005742409297197642,8.579313604031137
S2,baseline,847.8881987577639,71.48636682610139,54.99399727146916,33.33333333333333,68.11594202898551,851.4285714285714,97.14285714285711,0.08431107654385997,677.1428571428571,1002.8571428571429,70.76404658999341,0.05248503596259137,0.010824677744917476,4.848646509336938
S2,baseline,838.8128772635818,72.76704549811247,55.63966745723941,38.028169014084504,71.83098591549296,840.0,91.42857142857144,0.08675003385200385,677.1428571428571,1002.8571428571429,71.5296601021852,0.04892788855966937,0.016139754205236567,3.0315138593495212
S2,baseline,831.0261569416498,62.45286647168503,51.07617360574382,32.3943661971831,69.01408450704226,828.5714285714287,84.28571428571433,0.07515150510006165,705.7142857142858,978.5714285714286,72.1998934676287,0.051556073695526665,0.035475578089635376,1.4532835396018366
S2,baseline,825.4325955734407,46.360621999760276,46.30580314871791,28.169014084507044,66.19718309859155,827.1428571428572,57.85714285714289,0.05616524262353952,711.4285714285714,914.2857142857142,72.68915756630264,0.061101956548118966,0.04485403356580355,1.3622399523663515
S2,baseline,820.4225352112677,45.53433610796186,44.839851080238425,26.76056338028169,66.19718309859155,824.2857142857143,62.142857142857224,0.05550107920455437,711.4285714285714,907.1428571428571,73.13304721030042,0.05293736625133128,0.029465330734108133,1.7965984067524028
S2,baseline,830.061224489796,52.6513456131037,42.05776228277308,22.857142857142858,67.14285714285714,829.2857142857143,65.357142857143,0.06343067723162986,711.4285714285714,952.8571428571429,72.28382465025938,0.05141014315513306,0.02056865662627798,2.4994409741593335
S2,baseline,834.1247484909455,54.73793877599508,46.15476563336178,25.352112676056336,66.19718309859155,828.5714285714287,80.00000000000011,0.06562320429291191,711.4285714285714,952.8571428571429,71.93168660748746,0.02028469479691882,0.014504462382759957,1.3985140752979073
S2,baseline,846.8775510204082,50.31418169903931,46.54460734857229,21.428571428571427,67.14285714285714,845.0,70.71428571428567,0.05941140090254539,748.5714285714286,952.8571428571429,70.8484950719329,0.023736576027310805,0.02500073522229738,0.9494351192576483
S2,baseline,851.0204081632653,49.19111625883149,46.52363257583044,24.285714285714285,70.0,850.7142857142858,63.571428571428555,0.057802510711816385,712.8571428571429,952.8571428571429,70.50359712230215,0.03350166576860262,0.03365165853668753,0.995542782299381
